,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12605,605,1000,2099,1000,2250.0,19875.2996551282,1125,2.721745828904102e-05,474.0004730009461
12606,606,1,2013,1000,1239382.0987571976,78985.37223815192,1125,6.421220439907797e-06,538.000537001074
12607,607,1000,2013,1000,2250.0,78985.37223815192,1125,6.421220439907797e-06,538.000537001074
12608,608,1,1910,1000,1136313.1115632232,22378.963268855863,1125,2.187105336213736e-05,753.0007520015041
12609,609,1000,1910,1000,1530.000402000804,22378.963268855863,1125,2.187105336213736e-05,753.0007520015041
12610,610,1,1976,1000,1206984.1079842155,54438.3929631772,1125,9.176099086512936e-06,678.0006770013541
12611,611,1000,1976,1000,1839.0007090014176,54438.3929631772,1125,9.176099086512936e-06,678.0006770013541
12612,612,1,2027,1000,1258080.1017052035,42511.685105328,1125,1.2094717213096731e-05,682.0006810013621
12613,613,1000,2027,1000,2250.0,42511.685105328,1125,1.2094717213096731e-05,682.0006810013621
12614,614,1,1981,1000,1211740.1071152142,37239.31488900208,1125,1.3519968120690657e-05,702.000701001402
12615,615,1000,1981,1000,1827.000701001402,37239.31488900208,1125,1.3519968120690657e-05,702.000701001402
12616,616,1,1937,1000,1160463.1053382107,38552.16842207288,1125,1.2745683050960508e-05,571.0005700011401
12617,617,1000,1937,1000,1577.000448000896,38552.16842207288,1125,1.2745683050960508e-05,571.0005700011401
12618,618,1,2085,1000,1325665.104040208,28135.68259235864,1125,1.8923131468312085e-05,526.00052500105
12619,619,1000,2085,1000,2250.0,28135.68259235864,1125,1.8923131468312085e-05,526.00052500105
12592,592,1,1909,1000,1124001.1003762009,65573.56612876368,1125,7.327339784165204e-06,563.0005620011241
12591,591,1000,1963,1000,1660.000532001064,20035.646650663995,1125,2.5243902974687056e-05,481.00048000096007
12590,590,1,1963,1000,1182149.0977741955,20035.646650663995,1125,2.5243902974687056e-05,481.00048000096007
12589,589,1000,2024,1000,2250.0,53181.09271144089,1125,9.625830837984856e-06,580.000579001158
12561,561,1000,2015,1000,2250.0,56044.52849576206,1125,9.087974174363505e-06,568.0005670011341
12562,562,1,2017,1000,1251155.106030212,24670.483072177587,1125,2.096509128291815e-05,485.0004840009681
12563,563,1000,2017,1000,2250.0,24670.483072177587,1125,2.096509128291815e-05,485.0004840009681
