,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12530,530,1,125382,100,2506595.599,21599.82298814505,20,4.630260647694504e-05,1.001
12528,528,1,119017,100,2379250.125,19942.177212237253,20,5.015311900826087e-05,0.898
12501,501,100,126472,100,135105.253,22873.08167770665,20,4.372316115768168e-05,0.898
12502,502,1,127820,100,2555350.42,22546.224236660597,20,4.4357956978575264e-05,1.001
12503,503,100,127820,100,169253.431,22546.224236660597,20,4.4357956978575264e-05,1.001
12504,504,1,125667,100,2512297.799,21609.04903023119,20,4.628290300804202e-05,0.898
12505,505,100,125667,100,119404.913,21609.04903023119,20,4.628290300804202e-05,0.898
12506,506,1,112865,100,2256271.64,32187.130673091484,20,3.106008157481132e-05,13.476
12507,507,100,112865,100,99702.844,32187.130673091484,20,3.106008157481132e-05,13.476
12508,508,1,121546,100,2429868.029,21612.07690344025,20,4.62751624209496e-05,0.898
12509,509,100,121546,100,98821.92,21612.07690344025,20,4.62751624209496e-05,0.898
12510,510,1,128432,100,2567501.244,21412.803326659283,20,4.67082760706095e-05,0.898
12511,511,100,128432,100,150443.503,21412.803326659283,20,4.67082760706095e-05,0.898
12512,512,1,125325,100,2505483.449,21311.67499559786,20,4.692921971403198e-05,1.001
12513,513,100,125325,100,141865.997,21311.67499559786,20,4.692921971403198e-05,1.001
12514,514,1,107947,100,2157924.921,18645.80133104461,20,5.363920173465319e-05,1.001
12515,515,100,107947,100,108647.615,18645.80133104461,20,5.363920173465319e-05,1.001
12516,516,1,116750,100,2334025.854,20439.396661280185,20,4.893107652740568e-05,1.936
12517,517,100,116750,100,95507.09,20439.396661280185,20,4.893107652740568e-05,1.936
12518,518,1,126007,100,2519128.706,23724.885705610708,20,4.215190351078992e-05,0.898
12519,519,100,126007,100,126561.741,23724.885705610708,20,4.215190351078992e-05,0.898
12520,520,1,108663,100,2172173.977,26131.228641231053,20,3.826244083974976e-05,9.103
12521,521,100,108663,100,136033.477,26131.228641231053,20,3.826244083974976e-05,9.103
12522,522,1,113724,100,2273472.775,20532.70811535597,20,4.870737891483048e-05,0.898
12523,523,100,113724,100,106169.47,20532.70811535597,20,4.870737891483048e-05,0.898
12524,524,1,113708,100,2273161.203,24424.143292697147,20,4.094059696348164e-05,9.076
12525,525,100,113708,100,193833.931,24424.143292697147,20,4.094059696348164e-05,9.076
12526,526,1,129586,100,2590734.573,23052.10101542011,20,4.338414377046576e-05,0.898
12527,527,100,129586,100,144754.927,23052.10101542011,20,4.338414377046576e-05,0.898
12529,529,100,119017,100,189341.936,19942.177212237253,20,5.015311900826087e-05,0.898
12560,560,1,119194,100,2382853.021,21200.88332783056,20,4.717275524769371e-05,1.001
12561,561,100,119194,100,137298.235,21200.88332783056,20,4.717275524769371e-05,1.001
12562,562,1,122129,100,2441522.424,20373.38359981743,20,4.909162958811011e-05,1.001
12595,595,100,120018,100,166979.831,22906.46438395996,20,4.365752734757889e-05,8.559
12596,596,1,126530,100,2529570.831,22635.48848239548,20,4.418252185892248e-05,0.898
12597,597,100,126530,100,94732.937,22635.48848239548,20,4.418252185892248e-05,0.898
12598,598,1,123707,100,2473123.424,21902.973296654844,20,4.566067186298437e-05,0.898
12599,599,100,123707,100,114085.04,21902.973296654844,20,4.566067186298437e-05,0.898
12600,600,1,128146,100,2561921.249,22297.252559659784,20,4.48537937000176e-05,1.356
12601,601,100,128146,100,162522.764,22297.252559659784,20,4.48537937000176e-05,1.356
