,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
288,1,186,100,105992.00914201829,758.4456402143193,1125,0.0024516176158526156,15.000014000028001
289,100,186,100,9009.000008000015,758.4456402143193,1125,0.0024516176158526156,15.000014000028001
290,1,220,100,144934.00983401967,6805.723884336945,1125,8.87360496067915e-05,247.000246000492
291,100,220,100,6839.000088000176,6805.723884336945,1125,8.87360496067915e-05,247.000246000492
292,1,185,100,106674.0109490219,3869.794106463124,1125,0.0001395185693057913,324.000323000646
293,100,185,100,7113.000362000724,3869.794106463124,1125,0.0001395185693057913,324.000323000646
294,1,194,100,118070.01222002444,8016.449892217492,1125,6.540853730786246e-05,378.00037700075404
295,100,194,100,7323.000572001144,8016.449892217492,1125,6.540853730786246e-05,378.00037700075404
296,1,203,100,128469.01249402498,2813.0355232004454,1125,0.00023272775980981468,243.00024200048404
297,100,203,100,6882.000131000262,2813.0355232004454,1125,0.00023272775980981468,243.00024200048404
298,1,193,100,116956.01223102446,971.3415029053822,1125,0.0013189076447346004,1.0
299,100,193,100,6834.000083000166,971.3415029053822,1125,0.0013189076447346004,1.0
300,1,212,100,137629.01152902306,8645.732703401269,1125,6.606631570125182e-05,316.00031500063005
301,100,212,100,10368.000242000484,8645.732703401269,1125,6.606631570125182e-05,316.00031500063005
302,1,222,100,149132.01178202356,991.4785022393086,1125,0.0017188856685414942,2.0000010000020003
303,100,222,100,9003.000002000004,991.4785022393086,1125,0.0017188856685414942,2.0000010000020003
304,1,207,100,129910.00943501887,5602.183989869499,1125,0.0001039095152516364,285.000284000568
305,100,207,100,7941.00006500013,5602.183989869499,1125,0.0001039095152516364,285.000284000568
306,1,212,100,136254.0101540203,13641.437925619633,1125,4.064257610996667e-05,268.00026700053405
307,100,212,100,6855.000104000208,13641.437925619633,1125,4.064257610996667e-05,268.00026700053405
308,1,220,100,146215.01111502224,1854.4782306278764,1125,0.00045841734533866974,146.00014500029002
